WD13CD;WD13CDO;WD13NM
E05003682;19UDGM;Holt
E05003683;19UDGN;Longham
E05003684;19UDGP;Parley
E05003685;19UDGQ;St Leonards and St Ives East
E05003686;19UDGR;St Leonards and St Ives West
E05003687;19UDGS;Stapehill
E05003688;19UDGT;Stour
E05003689;19UDGU;Three Cross and Potterne
E05003690;19UDGW;Verwood Dewlands
E05003691;19UDGX;Verwood Newtown
E05003692;19UDGY;Verwood Stephen's Castle
E05003693;19UDGZ;West Moors
E05003694;19UDHA;Wimborne Minster
E05003695;19UEGE;Abbey
E05003696;19UEGF;Blackmore
E05003697;19UEGG;Blandford Damory Down
E05003698;19UEGH;Blandford Hilltop
E05003699;19UEGJ;Blandford Langton St Leonards
E05003700;19UEGK;Blandford Old Town
E05003701;19UEGL;Blandford Station
E05003702;19UEGM;Bourton and District
E05003703;19UEGN;Bulbarrow
E05003704;19UEGP;Cranborne Chase
E05003705;19UEGQ;Gillingham Town
E05003706;19UEGR;Hill Forts
E05003707;19UEGS;Lodbourne
E05003708;19UEGT;Lydden Vale
E05003709;19UEGU;Marnhull
E05003710;19UEGW;Milton
E05003711;19UEGX;Motcombe and Ham
E05003712;19UEGY;Portman
E05003713;19UEGZ;Riversdale
E05003714;19UEHA;Shaftesbury Central
E05003715;19UEHB;Shaftesbury Christy's
E05003716;19UEHC;Shaftesbury Grosvenor
E05003717;19UEHD;Shaftesbury Underhill
E05003718;19UEHE;Stour Valley
E05003719;19UEHF;The Beacon
E05003720;19UEHG;The Lower Tarrants
E05003721;19UEHH;The Stours
E05003722;19UEHJ;Wyke
E05003723;19UGFN;Bere Regis
E05003724;19UGFP;Castle
E05003725;19UGFQ;Creech Barrow
E05003726;19UGFR;Langton
E05003727;19UGFS;Lytchett Matravers
E05003728;19UGFT;Lytchett Minster and Upton East
E05003729;19UGFU;Lytchett Minster and Upton West
E05003730;19UGFW;St. Martin
E05003731;19UGFX;Swanage North
E05003732;19UGFY;Swanage South
E05003733;19UGFZ;Wareham
E05003734;19UGGA;West Purbeck
E05003735;19UGGB;Winfrith
E05003736;19UGGC;Wool
E05003737;19UHGR;Beaminster
E05003738;19UHGS;Bradford Abbas
E05003739;19UHGT;Bradpole
E05003740;19UHGU;Bridport North
E05003741;19UHGW;Bridport South and Bothenhampton
E05003742;19UHGX;Broadmayne
E05003743;19UHGY;Broadwindsor
E05003744;19UHGZ;Burton Bradstock
E05003745;19UHHA;Cam Vale
E05003746;19UHHB;Charminster and Cerne Valley
E05003747;19UHHC;Charmouth
E05003748;19UHHD;Chesil Bank
E05003749;19UHHE;Chickerell
E05003750;19UHHF;Chideock and Symondsbury
E05003751;19UHHG;Dorchester East
E05003752;19UHHH;Dorchester North
E05003753;19UHHJ;Dorchester South
E05003754;19UHHK;Dorchester West
E05003755;19UHHL;Frome Valley
E05003756;19UHHM;Halstock
E05003757;19UHHN;Loders
E05003758;19UHHP;Lyme Regis
E05003759;19UHHQ;Maiden Newton
E05003760;19UHHR;Marshwood Vale
E05003761;19UHHS;Netherbury
E05003762;19UHHT;Owermoigne
E05003763;19UHHU;Piddle Valley
E05003764;19UHHW;Puddletown
E05003765;19UHHX;Queen Thorne
E05003766;19UHHY;Sherborne East
E05003767;19UHHZ;Sherborne West
E05003768;19UHJA;Winterborne St Martin
E05003769;19UHJB;Yetminster
E05003770;19UJFQ;Littlemoor
E05003771;19UJFR;Melcombe Regis
E05003772;19UJFS;Preston
E05003773;19UJFT;Radipole
E05003774;19UJFU;Tophill East
E05003775;19UJFW;Tophill West
E05003776;19UJFX;Underhill
E05003777;19UJFY;Upwey and Broadwey
E05003778;19UJFZ;Westham East
E05003779;19UJGA;Westham North
E05003780;19UJGB;Westham West
E05003781;19UJGC;Wey Valley
E05003782;19UJGD;Weymouth East
E05003783;19UJGE;Weymouth West
E05003784;19UJGF;Wyke Regis
E05003920;21UCFL;Devonshire
E05003921;21UCFM;Hampden Park
E05003922;21UCFN;Langney
E05003923;21UCFP;Meads
E05003924;21UCFQ;Old Town
E05003925;21UCFR;Ratton
E05003926;21UCFS;St Anthony's
E05003927;21UCFT;Sovereign
E05003928;21UCFU;Upperton
E05003929;21UDFS;Ashdown
E05003930;21UDFT;Baird
E05003931;21UDFU;Braybrooke
E05003932;21UDFW;Castle
E05003933;21UDFX;Central St Leonards
E05003934;21UDFY;Conquest
E05003935;21UDFZ;Gensing
E05003936;21UDGA;Hollington
E05003937;21UDGB;Maze Hill
E05003938;21UDGC;Old Hastings
E05003939;21UDGD;Ore
E05003940;21UDGE;St Helens
E05003941;21UDGF;Silverhill
E05003942;21UDGG;Tressell
E05003943;21UDGH;West St Leonards
E05003944;21UDGJ;Wishing Tree
E05003945;21UFGG;Barcombe and Hamsey
E05003946;21UFGH;Chailey and Wivelsfield
E05003947;21UFGJ;Ditchling and Westmeston
E05003948;21UFGK;East Saltdean and Telscombe Cliffs
E05003949;21UFGL;Kingston
E05003950;21UFGM;Lewes Bridge
E05003951;21UFGN;Lewes Castle
E05003952;21UFGP;Lewes Priory
E05003953;21UFGQ;Newhaven Denton and Meeching
E05003954;21UFGR;Newhaven Valley
E05003955;21UFGS;Newick
E05003956;21UFGT;Ouse Valley and Ringmer
E05003957;21UFGU;Peacehaven East
E05003958;21UFGW;Peacehaven North
E05003959;21UFGX;Peacehaven West
E05003960;21UFGY;Plumpton, Streat, East Chiltington and St John (Without)
E05003961;21UFGZ;Seaford Central
E05003962;21UFHA;Seaford East
E05003963;21UFHB;Seaford North
E05003964;21UFHC;Seaford South
E05003965;21UFHD;Seaford West
E05003966;21UGGD;Battle Town
E05003967;21UGGE;Brede Valley
E05003968;21UGGF;Central
E05003969;21UGGG;Collington
E05003970;21UGGH;Crowhurst
E05003971;21UGGJ;Darwell
E05003972;21UGGK;Eastern Rother
E05003973;21UGGL;Ewhurst and Sedlescombe
E05003974;21UGGM;Kewhurst
E05003975;21UGGN;Marsham
E05003976;21UGGP;Old Town
E05003977;21UGGQ;Rother Levels
E05003978;21UGGR;Rye
E05003979;21UGGS;Sackville
E05003980;21UGGT;St Marks
E05003981;21UGGU;St Michaels
E05003982;21UGGW;St Stephens
E05003983;21UGGX;Salehurst
E05003984;21UGGY;Sidley
E05003985;21UGGZ;Ticehurst and Etchingham
E05003986;21UHGM;Alfriston
E05003987;21UHGN;Buxted and Maresfield
E05003988;21UHGP;Chiddingly and East Hoathly
E05003989;21UHGQ;Cross in Hand/Five Ashes
E05003990;21UHGR;Crowborough East
E05003991;21UHGS;Crowborough Jarvis Brook
E05003992;21UHGT;Crowborough North
E05003993;21UHGU;Crowborough St. Johns
E05003994;21UHGW;Crowborough West
E05003995;21UHGX;Danehill/Fletching/Nutley
E05003996;21UHGY;East Dean
E05003997;21UHGZ;Forest Row
E05003998;21UHHA;Framfield
E05003999;21UHHB;Frant/Withyham
E05004000;21UHHC;Hailsham Central and North
E05004001;21UHHD;Hailsham East
E05004002;21UHHE;Hailsham South and West
E05004003;21UHHF;Hartfield
E05004004;21UHHG;Heathfield East
E05004005;21UHHH;Heathfield North and Central
E05004006;21UHHJ;Hellingly
E05004007;21UHHK;Herstmonceux
E05004008;21UHHL;Horam
E05004009;21UHHM;Mayfield
E05004010;21UHHN;Ninfield and Hooe with Wartling
E05004011;21UHHP;Pevensey and Westham
E05004012;21UHHQ;Polegate North
E05004013;21UHHR;Polegate South
E05004014;21UHHS;Rotherfield
E05004015;21UHHT;Uckfield Central
E05004016;21UHHU;Uckfield New Town
E05004017;21UHHW;Uckfield North
E05004018;21UHHX;Uckfield Ridgewood
E05004019;21UHHY;Wadhurst
E05004020;21UHHZ;Willingdon
E05004021;22UBFQ;Billericay East
E05004022;22UBFR;Billericay West
E05004023;22UBFS;Burstead
E05004024;22UBFT;Crouch
E05004025;22UBFU;Fryerns
E05004026;22UBFW;Laindon Park
E05004027;22UBFX;Langdon Hills
E05004028;22UBFY;Lee Chapel North
E05004029;22UBFZ;Nethermayne
E05004030;22UBGA;Pitsea North West
E05004031;22UBGB;Pitsea South East
E05004032;22UBGC;St Martin's
E05004033;22UBGD;Vange
E05004034;22UBGE;Wickford Castledon
E05004035;22UBGF;Wickford North
E05004036;22UBGG;Wickford Park
E05004037;22UCGL;Black Notley and Terling
E05004038;22UCGM;Bocking Blackwater
E05004039;22UCGN;Bocking North
E05004040;22UCGP;Bocking South
E05004041;22UCGQ;Bradwell, Silver End and Rivenhall
E05004042;22UCGR;Braintree Central
E05004043;22UCGS;Braintree East
E05004044;22UCGT;Braintree South
E05004045;22UCGU;Bumpstead
E05004046;22UCGW;Coggeshall and North Feering
E05004047;22UCGX;Cressing and Stisted
E05004048;22UCGY;Gosfield and Greenstead Green
E05004049;22UCGZ;Great Notley and Braintree West
E05004050;22UCHA;Halstead St Andrew's
E05004051;22UCHB;Halstead Trinity
E05004052;22UCHC;Hatfield Peverel
E05004053;22UCHD;Hedingham and Maplestead
E05004054;22UCHE;Kelvedon
E05004055;22UCHF;Panfield
E05004056;22UCHG;Rayne
E05004057;22UCHH;Stour Valley North
E05004058;22UCHJ;Stour Valley South
E05004059;22UCHK;The Three Colnes
E05004060;22UCHL;Three Fields
E05004061;22UCHM;Upper Colne
E05004062;22UCHN;Witham Chipping Hill and Central
E05004063;22UCHP;Witham North
E05004064;22UCHQ;Witham South
E05004065;22UCHR;Witham West
E05004066;22UCHS;Yeldham
E05004067;22UDFT;Brentwood North
E05004068;22UDFU;Brentwood South
E05004069;22UDFW;Brentwood West
E05004070;22UDFX;Brizes and Doddinghurst
E05004071;22UDFY;Herongate, Ingrave and West Horndon
E05004072;22UDFZ;Hutton Central
E05004073;22UDGA;Hutton East
E05004074;22UDGB;Hutton North
E05004075;22UDGC;Hutton South
E05004076;22UDGD;Ingatestone, Fryerning and Mountnessing
E05004077;22UDGE;Pilgrims Hatch
E05004078;22UDGF;Shenfield
E05004079;22UDGG;South Weald
E05004080;22UDGH;Tipps Cross
E05004081;22UDGJ;Warley
E05004082;22UEFQ;Appleton
E05004083;22UEFR;Boyce
E05004084;22UEFS;Canvey Island Central
E05004085;22UEFT;Canvey Island East
E05004086;22UEFU;Canvey Island North
E05004087;22UEFW;Canvey Island South
E05004088;22UEFX;Canvey Island West
E05004089;22UEFY;Canvey Island Winter Gardens
E05004090;22UEFZ;Cedar Hall
E05004091;22UEGA;St George's
E05004092;22UEGB;St James
E05004093;22UEGC;St Mary's
E05004094;22UEGD;St Peter's
E05004095;22UEGE;Victoria
E05004096;22UFGE;Bicknacre and East and West Hanningfield
E05004097;22UFGF;Boreham and The Leighs
E05004098;22UFGG;Broomfield and The Walthams
E05004099;22UFGH;Chelmer Village and Beaulieu Park
E05004100;22UFGJ;Chelmsford Rural West
E05004101;22UFGK;Galleywood
E05004102;22UFGL;Goat Hall
E05004103;22UFGM;Great Baddow East
E05004104;22UFGN;Great Baddow West
E05004105;22UFGP;Little Baddow, Danbury and Sandon
E05004106;22UFGQ;Marconi
E05004107;22UFGR;Moulsham and Central
E05004108;22UFGS;Moulsham Lodge
E05004109;22UFGT;Patching Hall
E05004110;22UFGU;Rettendon and Runwell
E05004111;22UFGW;St Andrews
E05004112;22UFGX;South Hanningfield, Stock and Margaretting
E05004113;22UFGY;South Woodham-Chetwood and Collingwood
E05004114;22UFGZ;South Woodham-Elmwood and Woodville
E05004115;22UFHA;Springfield North
E05004116;22UFHB;The Lawns
E05004117;22UFHC;Trinity
E05004118;22UFHD;Waterhouse Farm
E05004119;22UFHE;Writtle
E05004120;22UGGE;Berechurch
E05004121;22UGGF;Birch and Winstree
E05004122;22UGGG;Castle
E05004123;22UGGH;Christ Church
E05004124;22UGGJ;Copford and West Stanway
E05004125;22UGGK;Dedham and Langham
E05004126;22UGGL;East Donyland
E05004127;22UGGM;Fordham and Stour
E05004128;22UGGN;Great Tey
E05004129;22UGGP;Old Heath
E05004130;22UGGQ;Highwoods
E05004131;22UGGR;Lexden
E05004132;22UGGS;Marks Tey
E05004133;22UGGT;Mile End
E05004134;22UGGU;New Town
E05004135;22UGGW;Prettygate
E05004136;22UGGX;Pyefleet
E05004137;22UGGY;St Andrew's
E05004138;22UGGZ;St Anne's
E05004139;22UGHA;St John's
E05004140;22UGHB;Shrub End
E05004141;22UGHC;Stanway
E05004142;22UGHD;Tiptree
E05004143;22UGHE;West Bergholt and Eight Ash Green
E05004144;22UGHF;West Mersea
E05004145;22UGHG;Wivenhoe Cross
E05004146;22UGHH;Wivenhoe Quay
E05004147;22UHGH;Broadley Common, Epping Upland and Nazeing
E05004148;22UHGJ;Buckhurst Hill East
E05004149;22UHGK;Buckhurst Hill West
E05004150;22UHGL;Chigwell Row
E05004151;22UHGM;Chigwell Village
E05004152;22UHGN;Chipping Ongar, Greensted and Marden Ash
E05004153;22UHGP;Epping Hemnall
E05004154;22UHGQ;Epping Lindsey and Thornwood Common
E05004155;22UHGR;Grange Hill
E05008940;22UHGS;Hastingwood, Matching and Sheering Village
E05004157;22UHGT;High Ongar, Willingale and The Rodings
E05004158;22UHGU;Lambourne
E05004159;22UHGW;Loughton Alderton
E05004160;22UHGX;Loughton Broadway
E05004161;22UHGY;Loughton Fairmead
E05004162;22UHGZ;Loughton Forest
E05004163;22UHHA;Loughton Roding
E05004164;22UHHB;Loughton St John's
E05004165;22UHHC;Loughton St Mary's
E05004166;22UHHD;Lower Nazeing
E05004167;22UHHE;Lower Sheering
E05008941;22UHHF;Moreton and Fyfield
E05004169;22UHHG;North Weald Bassett
E05004170;22UHHH;Passingford
E05004171;22UHHJ;Roydon
E05004172;22UHHK;Shelley
E05004173;22UHHL;Theydon Bois
E05004174;22UHHM;Waltham Abbey High Beach
E05004175;22UHHN;Waltham Abbey Honey Lane
E05004176;22UHHP;Waltham Abbey North East
E05004177;22UHHQ;Waltham Abbey Paternoster
E05004178;22UHHR;Waltham Abbey South West
E05004179;22UJFS;Bush Fair
E05004180;22UJFT;Church Langley
E05004181;22UJFU;Great Parndon
E05004182;22UJFW;Harlow Common
E05004183;22UJFX;Little Parndon and Hare Street
E05004184;22UJFY;Mark Hall
E05004185;22UJFZ;Netteswell
E05004186;22UJGA;Old Harlow
E05004187;22UJGB;Staple Tye
E05004188;22UJGC;Sumners and Kingsmoor
E05004189;22UJGD;Toddbrook
E05004190;22UKFX;Althorne
E05004191;22UKFY;Burnham-on-Crouch North
E05004192;22UKFZ;Burnham-on-Crouch South
E05004193;22UKGA;Great Totham
E05004194;22UKGB;Heybridge East
E05004195;22UKGC;Heybridge West
E05004196;22UKGD;Maldon East
E05004197;22UKGE;Maldon North
E05004198;22UKGF;Maldon South
E05004199;22UKGG;Maldon West
E05004200;22UKGH;Mayland
E05004201;22UKGJ;Purleigh
E05004202;22UKGK;Southminster
E05004203;22UKGL;Tillingham
E05004204;22UKGM;Tollesbury
E05004205;22UKGN;Tolleshunt D'Arcy
E05004206;22UKGP;Wickham Bishops and Woodham
E05004207;22ULGA;Ashingdon and Canewdon
E05004208;22ULGB;Barling and Sutton
E05004209;22ULGC;Downhall and Rawreth
E05004210;22ULGD;Foulness and Great Wakering
E05004211;22ULGE;Grange
E05004212;22ULGF;Hawkwell North
E05004213;22ULGG;Hawkwell South
E05004214;22ULGH;Hawkwell West
E05004215;22ULGJ;Hockley Central
E05004216;22ULGK;Hockley North
E05004217;22ULGL;Hockley West
E05004218;22ULGM;Hullbridge
E05004219;22ULGN;Lodge
E05004220;22ULGP;Rayleigh Central
E05004221;22ULGQ;Rochford
E05004222;22ULGR;Sweyne Park
E05004223;22ULGS;Trinity
E05004224;22ULGT;Wheatley
E05004225;22ULGU;Whitehouse
E05004226;22UNGK;Alresford
E05004227;22UNGL;Alton Park
E05004228;22UNGM;Ardleigh and Little Bromley
E05004229;22UNGN;Beaumont and Thorpe
E05004230;22UNGP;Bockings Elm
E05004231;22UNGQ;Bradfield, Wrabness and Wix
E05004232;22UNGR;Brightlingsea
E05004233;22UNGS;Burrsville
E05004234;22UNGT;Frinton
E05004235;22UNGU;Golf Green
E05004236;22UNGW;Great and Little Oakley
E05004237;22UNGX;Great Bentley
E05004238;22UNGY;Hamford
E05004239;22UNGZ;Harwich East
E05004240;22UNHA;Harwich East Central
E05004241;22UNHB;Harwich West
E05004242;22UNHC;Harwich West Central
E05004243;22UNHD;Haven
E05004244;22UNHE;Holland and Kirby
E05004245;22UNHF;Homelands
E05004246;22UNHG;Lawford
E05004247;22UNHH;Little Clacton and Weeley
E05004248;22UNHJ;Manningtree, Mistley, Little Bentley and Tendring
E05004249;22UNHK;Peter Bruff
E05004250;22UNHL;Pier
E05004251;22UNHM;Ramsey and Parkeston
E05004252;22UNHN;Rush Green
E05004253;22UNHP;St Bartholomews
E05004254;22UNHQ;St James
E05004255;22UNHR;St Johns
E05004256;22UNHS;St Marys
E05004257;22UNHT;St Osyth and Point Clear
E05004258;22UNHU;St Pauls
E05004259;22UNHW;Thorrington, Frating, Elmstead and Great Bromley
E05004260;22UNHX;Walton
E05004261;22UQGJ;Ashdon
E05004262;22UQGK;Barnston and High Easter
E05008708;22UQGL;Birchanger
E05008709;22UQGM;Broad Oak and the Hallingburys
E05004265;22UQGN;Clavering
E05004266;22UQGP;Elsenham and Henham
E05004267;22UQGQ;Felsted
E05004268;22UQGR;Great Dunmow North
E05004269;22UQGS;Great Dunmow South
E05004270;22UQGT;Hatfield Heath
E05004271;22UQGU;Littlebury
E05004272;22UQGW;Newport
E05004273;22UQGX;Saffron Walden Audley
E05008710;22UQGY;Saffron Walden Castle
E05004275;22UQGZ;Saffron Walden Shire
E05004276;22UQHA;Stansted North
E05008711;22UQHB;Stansted South
E05004278;22UQHC;Stebbing
E05004279;22UQHD;Stort Valley
E05008712;22UQHE;Takeley and the Canfields
E05004281;22UQHF;Thaxted
E05008713;22UQHG;The Chesterfords
E05004283;22UQHH;The Eastons
E05004284;22UQHJ;The Rodings
E05004285;22UQHK;The Sampfords
E05004286;22UQHL;Wenden Lofts
E05004287;22UQHM;Wimbish and Debden
E05004288;23UBFQ;All Saints
E05004289;23UBFR;Battledown
E05004290;23UBFS;Benhall and The Reddings
E05004291;23UBFT;Charlton Kings
E05004292;23UBFU;Charlton Park
E05004293;23UBFW;College
E05004294;23UBFX;Hesters Way
E05004295;23UBFY;Lansdown
E05004296;23UBFZ;Leckhampton
E05004297;23UBGA;Oakley
E05004298;23UBGB;Park
E05004299;23UBGC;Pittville
E05004300;23UBGD;Prestbury
E05004301;23UBGE;St Mark's
E05004302;23UBGF;St Paul's
E05004303;23UBGG;St Peter's
E05004304;23UBGH;Springbank
E05004305;23UBGJ;Swindon Village
E05004306;23UBGK;Up Hatherley
E05004307;23UBGL;Warden Hill
E05004308;23UCGL;Ampney-Coln
E05004309;23UCGM;Avening
E05004310;23UCGN;Beacon-Stow
E05004311;23UCGP;Blockley
E05004312;23UCGQ;Bourton-on-the-Water
E05004313;23UCGR;Campden-Vale
E05004314;23UCGS;Chedworth
E05004315;23UCGT;Churn Valley
E05004316;23UCGU;Cirencester Beeches
E05004317;23UCGW;Cirencester Chesterton
E05004318;23UCGX;Cirencester Park
E05004319;23UCGY;Cirencester Stratton-Whiteway
E05004320;23UCGZ;Cirencester Watermoor
E05004321;23UCHA;Ermin
E05004322;23UCHB;Fairford
E05004323;23UCHC;Fosseridge
E05004324;23UCHD;Grumbolds Ash
E05004325;23UCHE;Hampton
E05004326;23UCHF;Kempsford-Lechlade
E05004327;23UCHG;Moreton-in-Marsh
E05004328;23UCHH;Northleach
E05004329;23UCHJ;Rissingtons
E05004330;23UCHK;Riversmeet
E05004331;23UCHL;Sandywell
E05004332;23UCHM;Tetbury
E05004333;23UCHN;Thames Head
E05004334;23UCHP;Three Rivers
E05004335;23UCHQ;Water Park
E05004336;23UDGF;Alvington, Aylburton and West Lydney
E05004337;23UDGG;Awre
E05004338;23UDGH;Berry Hill
E05004339;23UDGJ;Blaisdon and Longhope
E05004340;23UDGK;Bream
E05004341;23UDGL;Bromesberrow and Dymock
E05004342;23UDGM;Christchurch and English Bicknor
E05004343;23UDGN;Churcham and Huntley
E05004344;23UDGP;Cinderford East
E05004345;23UDGQ;Cinderford West
E05004346;23UDGR;Coleford Central
E05004347;23UDGS;Coleford East
E05004348;23UDGT;Hartpury
E05004349;23UDGU;Hewelsfield and Woolaston
E05004350;23UDGW;Littledean and Ruspidge
E05004351;23UDGX;Lydbrook and Ruardean
E05004352;23UDGY;Lydney East
E05004353;23UDGZ;Lydney North
E05004354;23UDHA;Mitcheldean and Drybrook
E05004355;23UDHB;Newent Central
E05004356;23UDHC;Newland and St Briavels
E05004357;23UDHD;Newnham and Westbury
E05004358;23UDHE;Oxenhall and Newent North East
E05004359;23UDHF;Pillowell
E05004360;23UDHG;Redmarley
E05004361;23UDHH;Tibberton
E05004362;23UDHJ;Tidenham
E05004363;23UEFR;Abbey
E05004364;23UEFS;Barnwood
E05004365;23UEFT;Barton and Tredworth
E05004366;23UEFU;Elmbridge
E05004367;23UEFW;Grange
E05004368;23UEFX;Hucclecote
E05004369;23UEFY;Kingsholm and Wotton
E05004370;23UEFZ;Longlevens
E05004371;23UEGA;Matson and Robinswood
E05004372;23UEGB;Moreland
E05004373;23UEGC;Podsmead
E05004374;23UEGD;Quedgeley Fieldcourt
E05004375;23UEGE;Quedgeley Severn Vale
E05004376;23UEGF;Tuffley
E05004377;23UEGG;Westgate
E05004378;23UFGJ;Amberley and Woodchester
E05004379;23UFGK;Berkeley
E05004380;23UFGL;Bisley
E05004381;23UFGM;Cainscross
E05004382;23UFGN;Cam East
E05004383;23UFGP;Cam West
E05004384;23UFGQ;Central
E05004385;23UFGR;Chalford
E05004386;23UFGS;Coaley and Uley
E05004387;23UFGT;Dursley
E05004388;23UFGU;Eastington and Standish
E05004389;23UFGW;Farmhill and Paganhill
E05004390;23UFGX;Hardwicke
E05004391;23UFGY;Kingswood
E05004392;23UFGZ;Minchinhampton
E05004393;23UFHA;Nailsworth
E05004394;23UFHB;Randwick, Whiteshill and Ruscombe
E05004395;23UFHC;Painswick
E05004396;23UFHD;Rodborough
E05004397;23UFHE;Severn
E05004398;23UFHF;Slade
E05004399;23UFHG;Stonehouse
E05004400;23UFHH;The Stanleys
E05004401;23UFHJ;Thrupp
E05004402;23UFHK;Trinity
E05004403;23UFHL;Uplands
E05004404;23UFHM;Upton St Leonards
E05004405;23UFHN;Vale
E05004406;23UFHP;Valley
E05004407;23UFHQ;Wotton-under-Edge
E05004408;23UGGE;Ashchurch with Walton Cardiff
E05008563;23UGGF;Badgeworth
E05008564;23UGGG;Brockworth
E05008565;23UGGH;Churchdown Brookfield
E05004412;23UGGJ;Churchdown St John's
E05008566;23UGGK;Cleeve Grange
E05008567;23UGGL;Cleeve Hill
E05008568;23UGGM;Cleeve St Michael's
E05004416;23UGGN;Cleeve West
E05008569;23UGGP;Coombe Hill
E05004418;23UGGQ;Highnam with Haw Bridge
E05008570;23UGGR;Hucclecote
E05004420;23UGGS;Innsworth with Down Hatherley
E05008571;23UGGT;Isbourne
E05004422;23UGGU;Northway
E05008572;23UGGW;Oxenton Hill
E05008573;23UGGX;Shurdington
E05004425;23UGGY;Tewkesbury Newtown
E05008574;23UGGZ;Tewkesbury Prior's Park
E05004427;23UGHA;Tewkesbury Town with Mitton
E05004428;23UGHB;Twyning
E05008575;23UGHC;Winchcombe
E05004430;24UBJX;Basing
E05004431;24UBJY;Baughurst and Tadley North
E05004437;24UBJZ;Bramley and Sherfield
E05004432;24UBKA;Brighton Hill North
E05004433;24UBKB;Brighton Hill South
E05004434;24UBKC;Brookvale and Kings Furlong
E05004435;24UBKD;Buckskin
E05004436;24UBKE;Burghclere, Highclere and St Mary Bourne
E05004438;24UBKF;Chineham
E05004439;24UBKG;East Woodhay
E05004440;24UBKH;Eastrop
E05004441;24UBKJ;Grove
E05004442;24UBKK;Hatch Warren and Beggarwood
E05004443;24UBKL;Kempshott
E05004444;24UBKM;Kingsclere
E05004445;24UBKN;Norden
E05004446;24UBKP;Oakley and North Waltham
E05004447;24UBKQ;Overton, Laverstoke and Steventon
E05004448;24UBKR;Pamber and Silchester
E05004449;24UBKS;Popley East
E05004450;24UBKT;Popley West
E05004451;24UBKU;Rooksdown
E05004452;24UBKW;Sherborne St John
E05004453;24UBKX;South Ham
E05004454;24UBKY;Tadley Central
E05004455;24UBKZ;Tadley South
E05004456;24UBLA;Upton Grey and The Candovers
E05004457;24UBLB;Whitchurch
E05004458;24UBLC;Winklebury
E05004459;24UCGJ;Alton Amery
E05004460;24UCGK;Alton Ashdell
E05004461;24UCGL;Alton Eastbrooke
E05004462;24UCGM;Alton Westbrooke
E05004463;24UCGN;Alton Whitedown
E05004464;24UCGP;Alton Wooteys
E05004465;24UCGQ;Binsted and Bentley
E05004466;24UCGR;Bramshott and Liphook
E05004467;24UCGS;Clanfield and Finchdean
E05004468;24UCGT;Downland
E05004469;24UCGU;East Meon
E05004470;24UCGW;Four Marks and Medstead
E05004471;24UCGX;Froxfield and Steep
E05004472;24UCGY;Grayshott
E05004473;24UCGZ;Headley
E05004474;24UCHA;Holybourne and Froyle
E05004475;24UCHB;Horndean Catherington and Lovedean
E05004476;24UCHC;Horndean Downs
E05004477;24UCHD;Horndean Hazleton and Blendworth
E05004478;24UCHE;Horndean Kings
E05004479;24UCHF;Horndean Murray
E05004480;24UCHG;Lindford
E05004481;24UCHH;Liss
E05004482;24UCHJ;Petersfield Bell Hill
E05004483;24UCHK;Petersfield Causeway
E05004484;24UCHL;Petersfield Heath
E05004485;24UCHM;Petersfield Rother
E05004486;24UCHN;Petersfield St Marys
E05004487;24UCHP;Petersfield St Peters
E05004488;24UCHQ;Ropley and Tisted
E05004489;24UCHR;Rowlands Castle
E05004490;24UCHS;Selborne
E05004491;24UCHT;The Hangers and Forest
E05004492;24UCHU;Whitehill Chase
E05004493;24UCHW;Whitehill Deadwater
E05004494;24UCHX;Whitehill Hogmoor
E05004495;24UCHY;Whitehill Pinewood
E05004496;24UCHZ;Whitehill Walldown
E05004497;24UDFT;Bishopstoke East
E05004498;24UDFU;Bishopstoke West
E05004499;24UDFW;Botley
E05004500;24UDFX;Bursledon and Old Netley
E05004501;24UDFY;Chandler's Ford East
E05004502;24UDFZ;Chandler's Ford West
E05004503;24UDGA;Eastleigh Central
E05004504;24UDGB;Eastleigh North
E05004505;24UDGC;Eastleigh South
E05004506;24UDGD;Fair Oak and Horton Heath
E05004507;24UDGE;Hamble-le-Rice and Butlocks Heath
E05004508;24UDGF;Hedge End Grange Park
E05004509;24UDGG;Hedge End St John's
E05004510;24UDGH;Hedge End Wildern
E05004511;24UDGJ;Hiltingbury East
E05004512;24UDGK;Hiltingbury West
E05004513;24UDGL;Netley Abbey
E05004514;24UDGM;West End North
E05004515;24UDGN;West End South
E05004516;24UEFQ;Fareham East
E05004517;24UEFR;Fareham North
E05004518;24UEFS;Fareham North-West
E05004519;24UEFT;Fareham South
E05004520;24UEFU;Fareham West
E05004521;24UEFW;Hill Head
E05004522;24UEFX;Locks Heath
E05004523;24UEFY;Park Gate
E05004524;24UEFZ;Portchester East
E05004525;24UEGA;Portchester West
E05004526;24UEGB;Sarisbury
E05004527;24UEGC;Stubbington
E05004528;24UEGD;Titchfield
E05004529;24UEGE;Titchfield Common
E05004530;24UEGF;Warsash
E05004531;24UFFL;Alverstoke
E05004532;24UFFM;Anglesey
E05004533;24UFFN;Bridgemary North
E05004534;24UFFP;Bridgemary South
E05004535;24UFFQ;Brockhurst
E05004536;24UFFR;Christchurch
E05004537;24UFFS;Elson
E05004538;24UFFT;Forton
E05004539;24UFFU;Grange
E05004540;24UFFW;Hardway
E05004541;24UFFX;Lee East
E05004542;24UFFY;Lee West
E05004543;24UFFZ;Leesland
E05004544;24UFGA;Peel Common
E05004545;24UFGB;Privett
